files,language,blank,comment,code,"http://cloc.sourceforge.net v 1.64  T=5.67 s (59.6 files/s, 5161.5 lines/s)"
330,Ruby,4412,4923,19416
7,YAML,43,32,433
1,ERB,1,0,18
